SCI_ID,SCI_NAME,RES_ID,RES_AREA,Key,AFFIL,SIZE,WEB,HOME,RES_SPECIFIC,FUNDS,Photo,Awardee
69,A. Murat Eren,8,Genomics,MBL166,Whitman Scientist,1,http://merenlab.org/,University of Chicago,,,amurat-eren.png,
69,A. Murat Eren,2,Microbiomes,MBL167,Whitman Scientist,1,http://merenlab.org/,University of Chicago,,,amurat-eren.png,
69,A. Murat Eren,6,Computation & Modeling,MBL168,Whitman Scientist,1,http://merenlab.org/,University of Chicago,,,amurat-eren.png,
108,Akatsuki Kimura,5,Cell Biology & Imaging,MBL244,Whitman Scientist,1,https://www.nig.ac.jp/nig/research/organization-top/organization/kimura,"National Institute of Genetics, Japan",,,akatsuki-kimura.png,
108,Akatsuki Kimura,7,Evolution,MBL245,Whitman Scientist,1,https://www.nig.ac.jp/nig/research/organization-top/organization/kimura,"National Institute of Genetics, Japan",,,akatsuki-kimura.png,
108,Akatsuki Kimura,6,Computation & Modeling,MBL246,Whitman Scientist,1,https://www.nig.ac.jp/nig/research/organization-top/organization/kimura,"National Institute of Genetics, Japan",,,akatsuki-kimura.png,
107,Alexey Khodjakov,5,Cell Biology & Imaging,MBL243,Whitman Scientist,1,http://www.wadsworth.org/senior-staff/alexey-khodjakov,New York State Department of Health,,,alexy-khodjakov.png,
163,Allan Wiechmann,5,Cell Biology & Imaging,MBL360,Whitman Scientist,1,http://www.oumedicine.com/cellbiology/general-program-info/faculty/allan-f-wiechmann,University of Oklahoma College of Medicine,,,allan-wiechmann.png,
163,Allan Wiechmann,4,Neuroscience,MBL361,Whitman Scientist,1,http://www.oumedicine.com/cellbiology/general-program-info/faculty/allan-f-wiechmann,University of Oklahoma College of Medicine,,,allan-wiechmann.png,
163,Allan Wiechmann,9,Models of Human Disease,MBL362,Whitman Scientist,1,http://www.oumedicine.com/cellbiology/general-program-info/faculty/allan-f-wiechmann,University of Oklahoma College of Medicine,,,allan-wiechmann.png,
120,Allen Mensinger,4,Neuroscience,MBL271,Whitman Scientist,1,http://www.d.umn.edu/biology/faculty/mensinger.html,University of Minnesota Duluth,,,allen-mensinger.png,
120,Allen Mensinger,1,Marine Biology & Diversity,MBL272,Whitman Scientist,1,http://www.d.umn.edu/biology/faculty/mensinger.html,University of Minnesota Duluth,,,allen-mensinger.png,
78,Amy Gladfelter,6,Computation & Modeling,MBL186,Whitman Scientist,1,http://www.dartmouth.edu/~gladfelterlab/,University of North Carolina at Chapel Hill,,,amy-gladfelter.png,
78,Amy Gladfelter,9,Models of Human Disease,MBL187,Whitman Scientist,1,http://www.dartmouth.edu/~gladfelterlab/,University of North Carolina at Chapel Hill,,,amy-gladfelter.png,
78,Amy Gladfelter,5,Cell Biology & Imaging,MBL188,Whitman Scientist,1,http://www.dartmouth.edu/~gladfelterlab/,University of North Carolina at Chapel Hill,,,amy-gladfelter.png,
76,Andrew Gillis,4,Neuroscience,MBL180,Whitman Scientist,1,http://www.gillislab.org/,"University of Cambridge, United Kingdom",,,andrew-gillis.png,
76,Andrew Gillis,10,Regeneration & Development,MBL181,Whitman Scientist,1,http://www.gillislab.org/,"University of Cambridge, United Kingdom",,,andrew-gillis.png,
76,Andrew Gillis,7,Evolution,MBL182,Whitman Scientist,1,http://www.gillislab.org/,"University of Cambridge, United Kingdom",,,andrew-gillis.png,
122,Andrew Miller,10,Regeneration & Development,MBL274,Whitman Scientist,1,http://ihome.ust.hk/~aequorin/,"Hong Kong University of Science and Technology, Hong Kong",,,andrew-miller.png,
122,Andrew Miller,4,Neuroscience,MBL275,Whitman Scientist,1,http://ihome.ust.hk/~aequorin/,"Hong Kong University of Science and Technology, Hong Kong",,,andrew-miller.png,
122,Andrew Miller,5,Cell Biology & Imaging,MBL276,Whitman Scientist,1,http://ihome.ust.hk/~aequorin/,"Hong Kong University of Science and Technology, Hong Kong",,,andrew-miller.png,
97,Anthony Hyman,5,Cell Biology & Imaging,MBL219,Whitman Scientist,1,http://hymanlab.mpi-cbg.de/,"Max Planck Institute of Molecular Cell Biology and Genetics, Germany",,,anthony-hyman.png,
97,Anthony Hyman,9,Models of Human Disease,MBL220,Whitman Scientist,1,http://hymanlab.mpi-cbg.de/,"Max Planck Institute of Molecular Cell Biology and Genetics, Germany",,,anthony-hyman.png,
97,Anthony Hyman,8,Genomics,MBL221,Whitman Scientist,1,http://hymanlab.mpi-cbg.de/,"Max Planck Institute of Molecular Cell Biology and Genetics, Germany",,,anthony-hyman.png,
135,Anton Post,12,Undefined,MBL300,Whitman Scientist,1,http://www.mbl.edu/jbpc/staff/post/,University of Rhode Island,,,anton-post.png,
141,Antonia Roll-Mecak,12,Undefined,MBL313,Whitman Scientist,1,https://neuroscience.nih.gov/ninds/rm_lab/,National Institute of Neurological Disorders and Stroke,,,antonia-roll-mecak.png,
77,Antonio Giraldez,10,Regeneration & Development,MBL183,Whitman Scientist,1,http://www.giraldezlab.org/,Yale University School of Medicine,,,antonio-giraldez.png,
77,Antonio Giraldez,8,Genomics,MBL184,Whitman Scientist,1,http://www.giraldezlab.org/,Yale University School of Medicine,,,antonio-giraldez.png,
77,Antonio Giraldez,6,Computation & Modeling,MBL185,Whitman Scientist,1,http://www.giraldezlab.org/,Yale University School of Medicine,,,antonio-giraldez.png,
90,Avram Hershko,5,Cell Biology & Imaging,MBL208,Whitman Scientist,1,http://md.technion.ac.il/faculty_member/hershko-avram/,"Techion-Israel Institute of Technology, Israel",,,avram-hershko.png,
71,Barbara Furie,12,Undefined,MBL170,Whitman Scientist,1,http://www.bidmc.org/Research/Departments/Medicine/Divisions/Hemostasis-and-Thrombosis/About-Us.aspx,Harvard Medical School,,,barbara-furie.png,
74,Brad Gemmell,1,Marine Biology & Diversity,MBL175,Whitman Scientist,1,http://bradgemmell.wix.com/scientist-site,University of South Florida,,,brad-gemmell.png,
74,Brad Gemmell,3,"Ecology, Ecosystems & Global Change",MBL176,Whitman Scientist,1,http://bradgemmell.wix.com/scientist-site,University of South Florida,,,brad-gemmell.png,
161,Brandon Weissbourd,4,Neuroscience,MBL355,Whitman Scientist,1,https://www.researchgate.net/profile/Brandon_brady_Weissbourd,California Institute of Technology,,,brady-wiessbord.png,
161,Brandon Weissbourd,7,Evolution,MBL356,Whitman Scientist,1,https://www.researchgate.net/profile/Brandon_brady_Weissbourd,California Institute of Technology,,,brady-wiessbord.png,
125,Brian Mitchell,5,Cell Biology & Imaging,MBL281,Whitman Scientist,1,http://labs.feinberg.northwestern.edu/mitchell/,Northwestern University,,,brian-mitchell.png,
125,Brian Mitchell,10,Regeneration & Development,MBL282,Whitman Scientist,1,http://labs.feinberg.northwestern.edu/mitchell/,Northwestern University,,,brian-mitchell.png,
70,Bruce Furie,12,Undefined,MBL169,Whitman Scientist,1,http://www.bidmc.org/Research/Departments/Medicine/Divisions/Hemostasis-and-Thrombosis/About-Us.aspx,Harvard Medical School,,,Bruce-Furie.png,
115,Christopher Lowe,12,Undefined,MBL260,Whitman Scientist,1,http://lowe.stanford.edu/,Hopkins Marine Station of Stanford University,,,christopher-lowe.png,
57,Chuan-Chin Chiao,4,Neuroscience,MBL140,Whitman Scientist,1,http://life.nthu.edu.tw/~ccchiao/homepage.htm,"National Tsing Hua University, Taiwan",,,chiao.png,
57,Chuan-Chin Chiao,1,Marine Biology & Diversity,MBL141,Whitman Scientist,1,http://life.nthu.edu.tw/~ccchiao/homepage.htm,"National Tsing Hua University, Taiwan",,,chiao.png,
160,Clare Waterman,5,Cell Biology & Imaging,MBL354,Whitman Scientist,1,http://www.nhlbi.nih.gov/research/intramural/researchers/pi/waterman-clare,National Heart Lung and Blood Institute,,,clare-waterman.png,
55,Colleen Cavanaugh,2,Microbiomes,MBL135,Whitman Scientist,1,http://cavanaughlab.oeb.harvard.edu/,Harvard University,,,colleen-cavanaugh.png,
55,Colleen Cavanaugh,7,Evolution,MBL136,Whitman Scientist,1,http://cavanaughlab.oeb.harvard.edu/,Harvard University,,,colleen-cavanaugh.png,
55,Colleen Cavanaugh,8,Genomics,MBL137,Whitman Scientist,1,http://cavanaughlab.oeb.harvard.edu/,Harvard University,,,colleen-cavanaugh.png,
61,Daniel Colon-Ramos,5,Cell Biology & Imaging,MBL149,Whitman Scientist,1,http://medicine.yale.edu/lab/colon_ramos/,Yale University School of Medicine,,,daniel-colonramos.png,
61,Daniel Colon-Ramos,4,Neuroscience,MBL150,Whitman Scientist,1,http://medicine.yale.edu/lab/colon_ramos/,Yale University School of Medicine,,,daniel-colonramos.png,
75,Daniel Gibson,1,Marine Biology & Diversity,MBL177,Whitman Scientist,1,http://www.wpi.edu/academics/bbt/dvg.html,Worcester Polytechnic Institute (Retired 2012),,,generic.png,
75,Daniel Gibson,4,Neuroscience,MBL178,Whitman Scientist,1,http://www.wpi.edu/academics/bbt/dvg.html,Worcester Polytechnic Institute (Retired 2012),,,generic.png,
75,Daniel Gibson,10,Regeneration & Development,MBL179,Whitman Scientist,1,http://www.wpi.edu/academics/bbt/dvg.html,Worcester Polytechnic Institute (Retired 2012),,,generic.png,
105,Darcy Kelley,8,Genomics,MBL238,Whitman Scientist,1,http://www.columbia.edu/cu/biology/faculty/kelley/,Columbia University,,,darcy-kelley.png,
105,Darcy Kelley,7,Evolution,MBL239,Whitman Scientist,1,http://www.columbia.edu/cu/biology/faculty/kelley/,Columbia University,,,darcy-kelley.png,
105,Darcy Kelley,4,Neuroscience,MBL240,Whitman Scientist,1,http://www.columbia.edu/cu/biology/faculty/kelley/,Columbia University,,,darcy-kelley.png,
53,David Burgess,5,Cell Biology & Imaging,MBL133,Whitman Scientist,1,http://www.bc.edu/schools/cas/biology/facadmin/burgess.html,Boston College,,,david-burgess.png,
72,David Gadsby,4,Neuroscience,MBL171,Whitman Scientist,1,http://www.rockefeller.edu/research/faculty/labheads/DavidGadsby/,The Rockefeller University,,,david-gadsby.png,
72,David Gadsby,9,Models of Human Disease,MBL172,Whitman Scientist,1,http://www.rockefeller.edu/research/faculty/labheads/DavidGadsby/,The Rockefeller University,,,david-gadsby.png,
99,David Johnson,12,Undefined,MBL225,Whitman Scientist,1,http://www.vims.edu/about/directory/faculty/johnson_d.php,Virginia Institute of Marine Science,,,david-johnson.png,
138,David Rand,7,Evolution,MBL305,Whitman Scientist,1,http://www.davidrandlab.org/,Brown University,,,david-rand.png,
138,David Rand,2,Microbiomes,MBL306,Whitman Scientist,1,http://www.davidrandlab.org/,Brown University,,,david-rand.png,
